2025-03-03 11:20:58,186 INFO    MainThread:438856 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_setup.py:_flush():67] Configure stats pid to 438856
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_setup.py:_flush():67] Loading settings from /home/mmajo/.config/wandb/settings
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_setup.py:_flush():67] Loading settings from /home/mmajo/MCV/C5/MCV-2024-C5-Project-T6/detectron2/tools/wandb/settings
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/mmajo/MCV/C5/MCV-2024-C5-Project-T6/detectron2/tools/wandb/run-20250303_112058-tiyxndl5/logs/debug.log
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/mmajo/MCV/C5/MCV-2024-C5-Project-T6/detectron2/tools/wandb/run-20250303_112058-tiyxndl5/logs/debug-internal.log
2025-03-03 11:20:58,187 INFO    MainThread:438856 [wandb_init.py:init():761] calling init triggers
2025-03-03 11:20:58,188 INFO    MainThread:438856 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'config_file': 'trial.yaml', 'resume': False, 'eval_only': False, 'num_gpus': 1, 'num_machines': 1, 'machine_rank': 0, 'dist_url': 'tcp://127.0.0.1:61154', 'opts': [], '_wandb': {}}
2025-03-03 11:20:58,188 INFO    MainThread:438856 [wandb_init.py:init():784] starting backend
2025-03-03 11:20:58,188 INFO    MainThread:438856 [wandb_init.py:init():788] sending inform_init request
2025-03-03 11:20:58,224 INFO    MainThread:438856 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-03 11:20:58,224 INFO    MainThread:438856 [wandb_init.py:init():803] backend started and connected
2025-03-03 11:20:58,228 INFO    MainThread:438856 [wandb_init.py:init():896] updated telemetry
2025-03-03 11:20:58,258 INFO    MainThread:438856 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-03 11:20:58,613 INFO    MainThread:438856 [wandb_init.py:init():995] starting run threads in backend
2025-03-03 11:20:58,746 INFO    MainThread:438856 [wandb_run.py:_console_start():2377] atexit reg
2025-03-03 11:20:58,746 INFO    MainThread:438856 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-03 11:20:58,747 INFO    MainThread:438856 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-03 11:20:58,747 INFO    MainThread:438856 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-03 11:20:58,749 INFO    MainThread:438856 [wandb_init.py:init():1037] run started, returning control to user process
