epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.83,0.81611,0.83385,0.90545,0.83837,0.77871,0.85918,0.63815,0.80942,0.65121,0.88312,0.0033235,0.0033235,0.0033235
2,303.655,0.89232,0.69772,0.91584,0.84302,0.71123,0.79388,0.54835,1.00572,0.88116,0.95669,0.00664365,0.00664365,0.00664365
3,446.053,1.01651,0.80994,0.96762,0.66761,0.54897,0.59524,0.37182,1.34672,1.85306,1.16765,0.00995061,0.00995061,0.00995061
4,589.286,1.10973,0.85501,1.00431,0.6603,0.55425,0.60817,0.3748,1.36542,1.49556,1.1569,0.0099406,0.0099406,0.0099406
5,732.149,1.04075,0.77579,0.97469,0.73471,0.59936,0.66693,0.42642,1.2815,1.18666,1.08748,0.0099208,0.0099208,0.0099208
6,875.678,1.00867,0.75158,0.96778,0.72168,0.58762,0.64904,0.42522,1.26287,1.23393,1.10046,0.009901,0.009901,0.009901
7,1017.79,0.96118,0.70198,0.95798,0.6954,0.59003,0.64864,0.40634,1.29197,1.20139,1.11585,0.0098812,0.0098812,0.0098812
8,1158.9,0.93428,0.66773,0.94817,0.75308,0.60075,0.67594,0.42874,1.26192,1.15426,1.11997,0.0098614,0.0098614,0.0098614
9,1302.45,0.90117,0.63928,0.93353,0.77001,0.6201,0.6931,0.45153,1.1982,1.06494,1.07841,0.0098416,0.0098416,0.0098416
10,1447.47,0.85405,0.59378,0.92289,0.74258,0.59472,0.67452,0.44938,1.18255,1.14181,1.06237,0.0098218,0.0098218,0.0098218
11,1592.78,0.84386,0.58425,0.91991,0.75157,0.61683,0.69786,0.45921,1.18466,1.10939,1.05933,0.009802,0.009802,0.009802
12,1737.61,0.83226,0.56935,0.91609,0.77371,0.63283,0.7183,0.48961,1.12229,1.05407,1.04053,0.0097822,0.0097822,0.0097822
13,1883.26,0.82248,0.56096,0.91045,0.7515,0.62541,0.70247,0.47526,1.14842,1.06068,1.05482,0.0097624,0.0097624,0.0097624
14,2028.14,0.8325,0.56189,0.90813,0.74823,0.62558,0.69936,0.46688,1.13741,1.11863,1.0641,0.0097426,0.0097426,0.0097426
15,2172.62,0.80172,0.5412,0.89874,0.79625,0.6458,0.73826,0.49747,1.12696,1.03153,1.04998,0.0097228,0.0097228,0.0097228
16,2317.63,0.79094,0.52766,0.90044,0.75894,0.60986,0.69773,0.47462,1.12946,1.11925,1.06557,0.009703,0.009703,0.009703
17,2461.75,0.78646,0.52255,0.89782,0.76181,0.59767,0.6999,0.48067,1.11925,1.19613,1.05733,0.0096832,0.0096832,0.0096832
18,2606.43,0.77504,0.51176,0.89705,0.75255,0.58757,0.67371,0.46214,1.15948,1.24147,1.07564,0.0096634,0.0096634,0.0096634
19,2753.27,0.75941,0.49292,0.89019,0.79221,0.61541,0.70344,0.49466,1.08809,1.11624,1.0388,0.0096436,0.0096436,0.0096436
20,2898.04,0.7382,0.48391,0.88796,0.77694,0.6362,0.71228,0.49238,1.08241,1.10991,1.03447,0.0096238,0.0096238,0.0096238
21,3042.5,0.75854,0.49088,0.89159,0.80133,0.65504,0.73185,0.49809,1.11806,1.02387,1.04638,0.009604,0.009604,0.009604
22,3186.61,0.73912,0.47857,0.88122,0.78774,0.64239,0.73047,0.50461,1.09289,1.12855,1.03507,0.0095842,0.0095842,0.0095842
23,3331.34,0.73763,0.47385,0.88777,0.80218,0.65573,0.73538,0.51545,1.07719,1.01521,1.05487,0.0095644,0.0095644,0.0095644
24,3475.95,0.7246,0.46691,0.88138,0.78793,0.62924,0.70904,0.49787,1.09481,1.15697,1.04585,0.0095446,0.0095446,0.0095446
25,3621.06,0.71829,0.46692,0.88219,0.80843,0.63472,0.7261,0.49878,1.11613,1.10968,1.0612,0.0095248,0.0095248,0.0095248
26,3765.23,0.69183,0.44863,0.8725,0.78956,0.6354,0.72171,0.50503,1.06762,1.05829,1.03902,0.009505,0.009505,0.009505
