epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.86,0.74234,0.87652,0.87638,0.85239,0.73813,0.83564,0.5923,0.89057,0.67267,0.92316,0.0033235,0.0033235,0.0033235
2,329.665,0.85468,0.679,0.90874,0.75808,0.63758,0.70861,0.45447,1.19218,0.98401,1.03941,0.00664365,0.00664365,0.00664365
3,482.779,1.0011,0.8021,0.96676,0.59557,0.47026,0.4935,0.28493,1.51419,1.6005,1.26176,0.00995061,0.00995061,0.00995061
4,634.773,1.09475,0.86017,1.00904,0.55419,0.36855,0.40018,0.24063,1.79279,1.86434,1.44722,0.0099406,0.0099406,0.0099406
5,786.489,1.05276,0.78251,1.00187,0.5684,0.41743,0.4597,0.28363,1.61761,1.64172,1.2763,0.0099208,0.0099208,0.0099208
6,938.325,1.00063,0.72665,0.97642,0.59621,0.43968,0.4658,0.28477,1.60961,1.47028,1.32053,0.009901,0.009901,0.009901
7,1090.19,0.93839,0.65502,0.96122,0.62624,0.48748,0.54141,0.33686,1.52228,1.39153,1.27533,0.0098812,0.0098812,0.0098812
8,1241.45,0.90285,0.63985,0.94024,0.62092,0.46547,0.53313,0.3283,1.53547,1.61302,1.26231,0.0098614,0.0098614,0.0098614
9,1393.86,0.87755,0.60742,0.93003,0.65504,0.45041,0.53082,0.3472,1.46207,1.69394,1.26987,0.0098416,0.0098416,0.0098416
10,1545.18,0.85399,0.58276,0.92345,0.78476,0.32688,0.49349,0.32487,1.53875,2.27547,1.24348,0.0098218,0.0098218,0.0098218
11,1697.75,0.81691,0.55669,0.91781,0.75153,0.39904,0.55534,0.35985,1.52898,2.10572,1.3164,0.009802,0.009802,0.009802
12,1849.69,0.80035,0.54827,0.90658,0.71321,0.49331,0.58129,0.38069,1.39057,1.56951,1.21289,0.0097822,0.0097822,0.0097822
13,2001.58,0.78261,0.53668,0.90856,0.72234,0.50008,0.59586,0.37459,1.46066,1.58671,1.23788,0.0097624,0.0097624,0.0097624
14,2152.53,0.7757,0.51855,0.90012,0.70199,0.50948,0.58772,0.37997,1.37456,1.35818,1.21299,0.0097426,0.0097426,0.0097426
15,2303.28,0.76474,0.50944,0.89358,0.70063,0.46857,0.559,0.36559,1.42231,1.62484,1.22428,0.0097228,0.0097228,0.0097228
16,2453.42,0.76461,0.5104,0.89384,0.70422,0.39519,0.51457,0.33863,1.52478,2.06536,1.28101,0.009703,0.009703,0.009703
17,2603.26,0.74519,0.48793,0.88828,0.71943,0.43416,0.54081,0.35475,1.43142,2.02188,1.22174,0.0096832,0.0096832,0.0096832
18,2753.35,0.72001,0.47321,0.88055,0.73447,0.44172,0.56401,0.38742,1.35008,1.73914,1.18516,0.0096634,0.0096634,0.0096634
19,2903.26,0.71455,0.47345,0.88179,0.7489,0.43471,0.5762,0.37989,1.4104,1.82784,1.21174,0.0096436,0.0096436,0.0096436
20,3052.92,0.70272,0.45949,0.87209,0.78174,0.42796,0.58571,0.38802,1.42366,1.88858,1.19753,0.0096238,0.0096238,0.0096238
21,3203.53,0.70552,0.46019,0.87912,0.66012,0.45346,0.53064,0.35141,1.44749,1.76934,1.23179,0.009604,0.009604,0.009604
22,3353.28,0.68958,0.44373,0.86764,0.74462,0.51482,0.62078,0.41907,1.28579,1.44744,1.1791,0.0095842,0.0095842,0.0095842
23,3502.98,0.67799,0.44699,0.86781,0.66222,0.46659,0.55454,0.36459,1.38813,1.56973,1.24151,0.0095644,0.0095644,0.0095644
24,3652.02,0.67788,0.43483,0.86172,0.73952,0.49361,0.59697,0.41038,1.27734,1.59619,1.14597,0.0095446,0.0095446,0.0095446
25,3800.43,0.66822,0.42746,0.86201,0.71564,0.46483,0.55249,0.37649,1.39537,1.66538,1.23247,0.0095248,0.0095248,0.0095248
26,3948.44,0.65681,0.41767,0.86548,0.70308,0.45416,0.55891,0.38098,1.38084,1.83633,1.17567,0.009505,0.009505,0.009505
27,4096.94,0.65227,0.413,0.85734,0.72895,0.46637,0.5788,0.40184,1.33363,1.72167,1.19091,0.0094852,0.0094852,0.0094852
28,4244.56,0.64371,0.40886,0.85326,0.77595,0.49724,0.61256,0.41018,1.31562,1.60226,1.1778,0.0094654,0.0094654,0.0094654
29,4391.99,0.64102,0.40527,0.85575,0.81898,0.45404,0.61918,0.42625,1.32718,1.84508,1.18566,0.0094456,0.0094456,0.0094456
30,4539.48,0.6496,0.40987,0.86168,0.77463,0.4418,0.57738,0.39916,1.32407,1.7473,1.18069,0.0094258,0.0094258,0.0094258
31,4686.95,0.63191,0.40065,0.85566,0.78661,0.47187,0.62067,0.42839,1.28899,1.79222,1.16569,0.009406,0.009406,0.009406
32,4834.45,0.63478,0.40108,0.8498,0.79858,0.38744,0.5502,0.38719,1.3703,2.18668,1.19624,0.0093862,0.0093862,0.0093862
33,4981.62,0.61783,0.39777,0.84708,0.83816,0.40921,0.59124,0.41881,1.30927,2.09413,1.17407,0.0093664,0.0093664,0.0093664
34,5128.72,0.61442,0.39354,0.85029,0.83097,0.42705,0.60855,0.43744,1.27598,1.94265,1.16122,0.0093466,0.0093466,0.0093466
35,5276.29,0.62093,0.38865,0.84945,0.80187,0.46342,0.60406,0.42469,1.31373,1.86254,1.18607,0.0093268,0.0093268,0.0093268
36,5424.32,0.6159,0.38776,0.84851,0.82755,0.46192,0.61924,0.43688,1.2843,1.64708,1.16183,0.009307,0.009307,0.009307
37,5572.2,0.61357,0.38568,0.85142,0.84759,0.44226,0.61846,0.43834,1.31963,1.96503,1.186,0.0092872,0.0092872,0.0092872
38,5719.41,0.59766,0.37701,0.84441,0.79666,0.42695,0.58155,0.41636,1.27645,1.9035,1.15981,0.0092674,0.0092674,0.0092674
39,5866.88,0.59616,0.37363,0.84472,0.78276,0.51836,0.64383,0.45086,1.23585,1.42613,1.15594,0.0092476,0.0092476,0.0092476
40,6014.32,0.5981,0.37078,0.84254,0.80853,0.43407,0.59473,0.42077,1.29394,1.82367,1.1727,0.0092278,0.0092278,0.0092278
41,6161.74,0.58835,0.36801,0.84092,0.81906,0.41238,0.58321,0.40929,1.33731,1.94932,1.20518,0.009208,0.009208,0.009208
42,6308.84,0.59386,0.36855,0.84051,0.81846,0.41425,0.57476,0.41125,1.30669,1.99341,1.17898,0.0091882,0.0091882,0.0091882
43,6456.14,0.5834,0.36179,0.84346,0.81971,0.45018,0.60526,0.43478,1.24284,1.82749,1.14245,0.0091684,0.0091684,0.0091684
44,6603.24,0.57211,0.35399,0.83667,0.82384,0.44582,0.61243,0.43194,1.30634,1.93043,1.18982,0.0091486,0.0091486,0.0091486
45,6750.18,0.57614,0.35568,0.83899,0.78713,0.4724,0.60516,0.42809,1.31492,1.79736,1.17689,0.0091288,0.0091288,0.0091288
46,6897.11,0.57661,0.35654,0.82983,0.82995,0.44375,0.61269,0.4339,1.26865,1.91783,1.15239,0.009109,0.009109,0.009109
47,7043.97,0.56613,0.35394,0.83329,0.59787,0.49806,0.59493,0.4344,1.30203,2.5277,1.1797,0.0090892,0.0090892,0.0090892
48,7191.18,0.56471,0.34618,0.8344,0.50243,0.56288,0.58998,0.42943,1.26024,2.07138,1.14208,0.0090694,0.0090694,0.0090694
